,relevancy,score
0,0.996254,3
1,0.93806285,3
2,0.79500353,4
3,0.82810503,4
4,0.99525595,3
5,0.688648,4
6,0.6249697,2
7,0.9231724,3
8,0.7292017,2
9,0.92620254,3
10,0.8329433,2
11,0.8772629,2
12,0.3305968,4
13,0.9428297,3
14,0.9934506,3
15,0.84926784,2
16,0.81328195,3
17,0.49949682,4
18,0.85129046,4
19,0.84792084,3
20,0.7877695,2
21,0.54856265,2
22,0.57193744,3
23,0.80928916,3
24,0.9468166,4
25,0.9933322,1
26,0.8472888,4
27,0.8975408,2
28,0.6296716,4
29,0.7646029,2
30,0.9954494,4
31,0.58574545,2
32,0.49615955,2
33,0.86452615,4
34,0.61291254,4
35,0.9530405,3
36,0.6799581,4
37,0.99142873,2
38,0.9148539,4
39,0.8685383,3
40,0.7981624,4
41,0.7270762,1
42,0.99422485,3
43,0.99562836,3
44,0.8794389,2
45,0.9741489,4
46,0.99148816,1
47,0.99511856,3
48,0.58826005,4
49,0.5717656,1
50,0.99352384,2
51,0.6940351,3
52,0.9955795,3
53,0.5882134,3
54,0.54733205,3
55,0.6136576,2
56,0.98924536,2
57,0.9637633,4
58,0.9879715,2
59,0.9936248,1
60,0.89154243,3
61,0.9922568,2
62,0.9922208,3
63,0.9194479,4
64,0.99105746,1
65,0.83459336,2
66,0.9860786,4
67,0.9944179,3
68,0.71485585,1
69,0.8463461,3
70,0.9974535,5
71,0.95387346,4
72,0.5357931,3
73,0.9725274,4
74,0.995937,3
75,0.5680413,2
76,0.9117162,4
77,0.5858972,3
78,0.96877664,2
79,0.98048264,4
80,0.78418666,2
81,0.77681243,3
82,0.98474526,3
83,0.9956285,3
84,0.996108,4
85,0.99499935,4
86,0.5130332,2
87,0.9956796,3
88,0.9925129,4
89,0.9732032,2
90,0.99606246,1
91,0.6949327,4
92,0.99362415,2
93,0.7071369,3
94,0.6736749,3
95,0.8406553,1
96,0.9615177,3
97,0.5066397,3
98,0.8721362,3
99,0.9964628,5
100,0.5344064,2
101,0.6471167,4
102,0.7728644,2
103,0.9898157,4
104,0.9921465,3
105,0.9452582,5
106,0.733988,4
107,0.9222682,2
108,0.6973019,2
109,0.9739277,3
110,0.99545723,4
111,0.77129805,5
112,0.992689,3
113,0.8879397,2
114,0.73790324,1
115,0.99458593,3
116,0.5149781,3
117,0.9747567,2
118,0.5460343,4
119,0.9950731,3
120,0.8040285,4
121,0.9381528,5
122,0.5788669,2
123,0.8011106,3
124,0.9906643,2
125,0.9923898,1
126,0.9946743,2
127,0.968305,4
128,0.99633247,4
129,0.921559,3
130,0.6911838,2
131,0.88397497,2
132,0.9921821,2
133,0.78906214,4
134,0.9780656,3
135,0.9926432,3
136,0.75393456,3
137,0.99546385,1
138,0.9919336,2
139,0.700712,2
140,0.9922083,2
141,0.957379,3
142,0.79153925,3
143,0.99668175,3
144,0.73874766,4
145,0.4402128,2
146,0.7936287,4
147,0.9960011,3
148,0.51063704,2
149,0.8643256,3
150,0.9197184,5
151,0.4411181,1
152,0.94222623,3
153,0.9946026,3
154,0.99671674,4
155,0.9919757,1
156,0.93014103,2
157,0.991196,2
158,0.9935788,2
159,0.51700985,6
160,0.8425434,4
161,0.5282547,3
162,0.99369234,2
163,0.91222394,2
164,0.99540836,3
165,0.9953598,4
166,0.9961553,5
167,0.7844672,3
168,0.989099,1
169,0.9781397,2
170,0.9943743,2
171,0.51593727,3
172,0.994528,3
173,0.9502571,4
174,0.9499776,4
175,0.99410313,3
176,0.8196379,3
177,0.89041185,4
178,0.81813663,3
179,0.76255804,3
180,0.56810904,2
181,0.58519626,2
182,0.8950142,4
183,0.9660628,3
184,0.9970889,4
185,0.549478,1
186,0.9907024,2
187,0.55379,2
188,0.99299353,3
189,0.8998133,4
190,0.80317265,3
191,0.99105895,2
192,0.83461577,1
193,0.82606524,3
194,0.99691284,4
195,0.99465466,3
196,0.7215083,3
197,0.6964143,2
198,0.9966994,2
199,0.9177626,3
200,0.9822504,4
201,0.9944593,3
202,0.72473437,4
203,0.9946356,3
204,0.8828011,3
205,0.5493583,3
206,0.9956381,4
207,0.9206639,2
208,0.7615612,2
209,0.8699875,3
210,0.5319578,2
211,0.609981,4
212,0.96034884,2
213,0.5436425,4
214,0.9932883,3
215,0.9543598,4
216,0.81753963,4
217,0.59234923,4
218,0.99627763,4
219,0.635173,2
220,0.8495186,3
221,0.9974264,1
222,0.92454803,3
223,0.9928234,2
224,0.74740154,3
225,0.5450957,3
226,0.8784685,3
227,0.5570212,2
228,0.99602956,3
229,0.6896862,2
230,0.7079527,3
231,0.52249247,4
232,0.96685696,4
233,0.95854527,3
234,0.6685707,4
235,0.88931006,2
236,0.9746836,3
237,0.96473277,2
238,0.94767684,4
239,0.79831046,3
240,0.6607694,3
241,0.6836649,2
242,0.9405859,3
243,0.99559784,3
244,0.5410883,3
245,0.7667572,4
246,0.447522,4
247,0.64257467,5
248,0.7831561,4
249,0.6811859,2
250,0.5648181,3
251,0.9749954,2
252,0.9817201,4
253,0.9799032,1
254,0.99574244,3
255,0.9949058,3
256,0.87049645,3
257,0.9949828,1
258,0.5276765,3
259,0.9334556,4
260,0.9704128,1
261,0.6544248,3
262,0.6752,4
263,0.9927164,3
264,0.9673696,3
265,0.6644523,1
266,0.8908201,4
267,0.6619693,5
268,0.9935296,3
269,0.6594761,2
270,0.9967853,4
271,0.5880416,3
272,0.99601,3
273,0.9893799,2
274,0.7865593,3
275,0.7178286,4
276,0.8009495,4
277,0.6991993,4
278,0.93236005,3
279,0.8295574,3
280,0.9434619,4
281,0.99365884,2
282,0.9768573,4
283,0.6394421,2
284,0.99206966,2
285,0.74162686,3
286,0.995382,2
287,0.8439464,3
288,0.7875999,3
289,0.9939122,3
290,0.78148776,1
291,0.9646898,4
292,0.9904071,2
293,0.9962155,4
294,0.7056918,3
295,0.9949893,4
296,0.77956176,3
297,0.7855686,3
298,0.8610924,1
299,0.9967161,4
300,0.8735057,4
301,0.82101494,3
302,0.9156237,2
303,0.51040167,1
304,0.99327546,3
305,0.44274044,4
306,0.9924665,2
307,0.61550504,3
308,0.99245507,2
309,0.6068512,3
310,0.99352384,3
311,0.9862234,2
312,0.8142339,3
313,0.99448603,3
314,0.93719083,5
315,0.56137615,4
316,0.9782373,4
317,0.55795777,3
318,0.7879502,4
319,0.995862,3
320,0.993281,2
321,0.9679596,3
322,0.9766167,1
323,0.705907,3
324,0.9929404,2
325,0.9594909,4
326,0.7642661,3
327,0.99679977,2
328,0.7225097,3
329,0.9434965,4
330,0.52173597,3
331,0.6855411,2
332,0.7405041,2
333,0.69826794,2
334,0.9917193,2
335,0.99104065,3
336,0.9890377,3
337,0.6519887,4
338,0.9941454,2
339,0.9649941,2
340,0.99025995,2
341,0.9932155,2
342,0.9932017,3
343,0.7794225,4
344,0.99386114,4
345,0.5776914,1
346,0.5351901,3
347,0.959681,3
348,0.90372676,3
349,0.44899073,2
350,0.52357775,3
351,0.72131586,3
352,0.64054096,3
353,0.8012895,3
354,0.5374715,1
355,0.9928216,3
356,0.75117326,3
357,0.60824245,2
358,0.7482782,2
359,0.51202005,4
360,0.9148723,3
361,0.65012074,3
362,0.86046904,3
363,0.584208,3
364,0.5667007,4
365,0.97103167,3
366,0.9966483,4
367,0.63958305,2
368,0.9961931,4
369,0.98902243,2
370,0.9926187,2
371,0.9960714,4
372,0.9019206,3
373,0.98291695,4
374,0.49582693,3
375,0.76157594,5
376,0.99740934,5
377,0.9480454,3
378,0.9954226,3
379,0.8009184,4
380,0.9960079,3
381,0.5401698,2
382,0.8138602,4
383,0.9897148,2
384,0.9713351,2
385,0.9944148,3
386,0.7922538,3
387,0.96954924,5
388,0.9968867,5
389,0.9937607,3
390,0.9342256,3
391,0.70656496,2
392,0.9942447,3
393,0.9579085,3
394,0.9684982,4
395,0.5964886,3
396,0.9919868,2
397,0.97836775,3
398,0.99341065,3
399,0.5737178,2
400,0.98912287,2
401,0.9921752,3
402,0.7259138,2
403,0.9919642,2
404,0.9913586,2
405,0.9966417,5
406,0.9963207,3
407,0.99186826,3
408,0.99456716,3
409,0.7696232,2
410,0.77137315,3
411,0.9792547,4
412,0.9966227,4
413,0.7132338,3
414,0.8645176,2
415,0.99596375,2
416,0.59969944,6
417,0.8533923,3
418,0.9927172,3
419,0.6385246,3
420,0.72845,3
421,0.7448095,2
422,0.8761327,2
423,0.48819047,3
424,0.90732366,1
425,0.4902028,3
426,0.7149182,4
427,0.84512675,4
428,0.93379414,3
429,0.9404594,1
430,0.8518836,4
431,0.9179719,2
432,0.9936238,2
433,0.9935566,3
434,0.5223192,3
435,0.99369556,3
436,0.96621996,4
437,0.9908579,2
438,0.97366536,3
439,0.99410826,3
440,0.8245117,4
441,0.74691534,3
442,0.8366977,1
443,0.72362506,3
444,0.9913018,2
445,0.9787284,3
446,0.6050041,3
447,0.6274685,2
448,0.9967666,3
449,0.99206847,2
450,0.73203063,2
451,0.98571944,4
452,0.99573565,4
453,0.99511296,4
454,0.49920473,3
455,0.8146481,4
456,0.9946968,3
457,0.9911502,1
458,0.97793454,3
459,0.6578423,3
460,0.96203357,4
461,0.9665075,3
462,0.6423526,6
463,0.70459014,3
464,0.95397866,2
465,0.8506882,2
466,0.7354201,4
467,0.9917353,2
468,0.729954,2
469,0.72432154,4
470,0.5132345,4
471,0.5847248,2
472,0.99599296,4
473,0.9970969,4
474,0.9806501,4
475,0.80590487,4
476,0.6504358,3
477,0.9952948,2
478,0.53297526,1
479,0.6671964,6
480,0.4149032,3
481,0.94459146,1
482,0.9955866,3
483,0.99610746,3
484,0.6789187,4
485,0.99443996,3
486,0.80748713,2
487,0.3454596,4
488,0.99071276,2
489,0.99333626,3
490,0.89612675,2
491,0.6173166,1
492,0.99697226,4
493,0.60234874,3
494,0.8278563,2
495,0.8393782,3
496,0.8571742,3
497,0.92061687,3
498,0.57528573,3
499,0.994832,3
500,0.97419417,2
501,0.93987817,4
502,0.50087464,2
503,0.88568646,2
504,0.92657304,4
505,0.5724097,2
506,0.9901324,2
507,0.99307406,2
508,0.9244975,5
509,0.99177265,2
510,0.8366416,2
511,0.52226305,3
512,0.5578537,2
513,0.91568005,2
514,0.6972732,3
515,0.93393666,3
516,0.99500996,4
517,0.9824531,2
518,0.7474969,3
519,0.99018,3
520,0.83517647,3
521,0.8936301,4
522,0.995567,4
523,0.9727664,3
524,0.68161905,2
525,0.9939349,3
526,0.9961401,2
527,0.8573598,3
528,0.9967722,4
529,0.8003371,3
530,0.6564658,4
531,0.995792,4
532,0.9905723,2
533,0.9932556,3
534,0.9945331,3
535,0.78824204,4
536,0.96472657,4
537,0.99294996,1
538,0.47602293,5
539,0.62010145,4
540,0.928491,4
541,0.5026566,4
542,0.6234293,3
543,0.9935746,3
544,0.6397253,3
545,0.7674789,2
546,0.7103218,2
547,0.99426335,3
548,0.84343386,1
549,0.9977103,4
550,0.9924699,3
551,0.9391648,5
552,0.38959408,3
553,0.91355646,2
554,0.95921516,5
555,0.45607463,5
556,0.99534094,2
557,0.994125,2
558,0.9929426,2
559,0.99385035,1
560,0.98802173,4
561,0.7827742,4
562,0.98417294,3
563,0.96936446,3
564,0.94177496,3
565,0.8210711,1
566,0.99356157,3
567,0.9940531,3
568,0.83594483,3
569,0.49250424,4
570,0.994589,2
571,0.48343137,3
572,0.8615142,3
573,0.99606025,4
574,0.6877874,4
575,0.9331374,3
576,0.61411947,2
577,0.8578408,4
